entry_time,exit_time,direction,entry_price,exit_price,outcome,pnl
2023-01-05 06:36:00+00:00,2023-01-05 06:41:00+00:00,DOWN,149.63497421248064,149.6228947564001,win,0.85
2023-01-05 08:28:00+00:00,2023-01-05 08:33:00+00:00,DOWN,149.67175413352578,149.56358396303023,win,0.85
2023-01-05 08:54:00+00:00,2023-01-05 08:59:00+00:00,DOWN,149.87741441363343,149.38725520380987,win,0.85
2023-01-05 10:27:00+00:00,2023-01-05 10:32:00+00:00,DOWN,150.42920466296704,150.24177450527765,win,0.85
2023-01-05 10:37:00+00:00,2023-01-05 10:42:00+00:00,DOWN,150.55173916228347,150.47152426660801,win,0.85
2023-01-05 14:01:00+00:00,2023-01-05 14:06:00+00:00,DOWN,150.02532974436826,149.7823707861493,win,0.85
2023-01-05 15:21:00+00:00,2023-01-05 15:26:00+00:00,DOWN,150.04997155776076,150.35995540519062,loss,-1.0
2023-01-05 16:59:00+00:00,2023-01-05 17:04:00+00:00,DOWN,150.1254734288757,150.04983652982776,win,0.85
2023-01-05 17:21:00+00:00,2023-01-05 17:26:00+00:00,DOWN,150.3153049018475,150.20423249757047,win,0.85
2023-01-05 18:13:00+00:00,2023-01-05 18:18:00+00:00,DOWN,150.70331631574314,150.6377920004333,win,0.85
2023-01-05 18:21:00+00:00,2023-01-05 18:26:00+00:00,DOWN,150.95141295447806,150.37252750505053,win,0.85
2023-01-05 19:56:00+00:00,2023-01-05 20:01:00+00:00,DOWN,149.77435301783603,149.73523810028715,win,0.85
2023-01-05 22:59:00+00:00,2023-01-05 23:04:00+00:00,DOWN,149.98245662652218,150.1959914966439,loss,-1.0
2023-01-05 23:05:00+00:00,2023-01-05 23:10:00+00:00,DOWN,150.11654930261486,149.86413465232576,win,0.85
2023-01-05 23:52:00+00:00,2023-01-05 23:57:00+00:00,DOWN,150.5282451777919,150.69184339549054,loss,-1.0
2023-01-06 00:38:00+00:00,2023-01-06 00:43:00+00:00,UP,149.14534689248387,149.37637979392315,win,0.85
2023-01-06 04:01:00+00:00,2023-01-06 04:06:00+00:00,DOWN,149.28231532569012,149.43859950565454,loss,-1.0
2023-01-06 04:07:00+00:00,2023-01-06 04:12:00+00:00,DOWN,149.413086448811,149.47016444035648,loss,-1.0
2023-01-06 06:34:00+00:00,2023-01-06 06:39:00+00:00,DOWN,150.28494875966751,150.30886024994632,loss,-1.0
2023-01-06 09:47:00+00:00,2023-01-06 09:52:00+00:00,DOWN,150.1589116065622,150.00173423280833,win,0.85
2023-01-06 10:17:00+00:00,2023-01-06 10:22:00+00:00,DOWN,150.29724352470228,150.35923671500632,loss,-1.0
2023-01-06 10:23:00+00:00,2023-01-06 10:28:00+00:00,DOWN,150.56985076828892,150.1512702595403,win,0.85
2023-01-06 12:33:00+00:00,2023-01-06 12:38:00+00:00,UP,149.0098935530954,148.78613216433033,loss,-1.0
2023-01-06 12:39:00+00:00,2023-01-06 12:44:00+00:00,UP,148.65868241885903,149.01134548450554,win,0.85
2023-01-06 13:34:00+00:00,2023-01-06 13:39:00+00:00,UP,148.56383096022938,148.73522913891676,win,0.85
2023-01-06 14:33:00+00:00,2023-01-06 14:38:00+00:00,DOWN,149.0650686035141,149.29971840897161,loss,-1.0
2023-01-06 14:39:00+00:00,2023-01-06 14:44:00+00:00,DOWN,149.4691932516418,149.37518135010544,win,0.85
2023-01-06 16:36:00+00:00,2023-01-06 16:41:00+00:00,DOWN,150.4588454530644,150.69731434433086,loss,-1.0
2023-01-06 16:45:00+00:00,2023-01-06 16:50:00+00:00,DOWN,150.74097778769286,150.89005100108312,loss,-1.0
2023-01-06 16:51:00+00:00,2023-01-06 16:56:00+00:00,DOWN,150.8685436954227,150.84966944230234,win,0.85
2023-01-06 20:41:00+00:00,2023-01-06 20:46:00+00:00,DOWN,150.54842132167292,150.25159758961425,win,0.85
2023-01-06 21:19:00+00:00,2023-01-06 21:24:00+00:00,DOWN,150.8000951128946,150.96895864662946,loss,-1.0
2023-01-06 21:25:00+00:00,2023-01-06 21:30:00+00:00,DOWN,151.04424241647044,150.701698326814,win,0.85
2023-01-06 22:52:00+00:00,2023-01-06 22:57:00+00:00,DOWN,149.93381275571275,149.8324837771607,win,0.85
2023-01-07 00:33:00+00:00,2023-01-07 00:38:00+00:00,DOWN,149.86133100709398,150.06048994215223,loss,-1.0
2023-01-07 00:39:00+00:00,2023-01-07 00:44:00+00:00,DOWN,150.21760451527393,150.18283258515055,win,0.85
2023-01-07 00:45:00+00:00,2023-01-07 00:50:00+00:00,DOWN,150.28258671650343,150.58187630737606,loss,-1.0
2023-01-07 00:51:00+00:00,2023-01-07 00:56:00+00:00,DOWN,150.73367232511745,150.51005531752037,win,0.85
2023-01-07 07:39:00+00:00,2023-01-07 07:44:00+00:00,DOWN,149.38208033032606,148.7996394822108,win,0.85
2023-01-07 10:49:00+00:00,2023-01-07 10:54:00+00:00,DOWN,149.4118254203802,149.20167908153968,win,0.85
2023-01-07 11:45:00+00:00,2023-01-07 11:50:00+00:00,DOWN,149.19365301803916,149.34320512419535,loss,-1.0
2023-01-07 11:51:00+00:00,2023-01-07 11:56:00+00:00,DOWN,149.40891689145687,149.61705179534468,loss,-1.0
2023-01-07 11:58:00+00:00,2023-01-07 12:03:00+00:00,DOWN,149.71031314626666,149.85421924353906,loss,-1.0
2023-01-07 12:04:00+00:00,2023-01-07 12:09:00+00:00,DOWN,149.8114573611325,149.7922250163731,win,0.85
2023-01-07 12:12:00+00:00,2023-01-07 12:17:00+00:00,DOWN,149.95429729127682,149.73160716448763,win,0.85
2023-01-07 13:03:00+00:00,2023-01-07 13:08:00+00:00,DOWN,149.67630726646433,149.62521456101217,win,0.85
2023-01-07 15:41:00+00:00,2023-01-07 15:46:00+00:00,DOWN,148.96287961232488,149.22042848022136,loss,-1.0
2023-01-07 15:47:00+00:00,2023-01-07 15:52:00+00:00,DOWN,149.24992066848318,149.3673935053739,loss,-1.0
2023-01-07 17:37:00+00:00,2023-01-07 17:42:00+00:00,DOWN,149.24352819350455,149.31310232395273,loss,-1.0
2023-01-07 18:30:00+00:00,2023-01-07 18:35:00+00:00,DOWN,149.64022807855835,149.8106931039914,loss,-1.0
2023-01-07 18:36:00+00:00,2023-01-07 18:41:00+00:00,DOWN,149.8769706867822,149.89383764845212,loss,-1.0
2023-01-07 20:59:00+00:00,2023-01-07 21:04:00+00:00,DOWN,149.09825378116025,149.1499358627295,loss,-1.0
2023-01-07 21:25:00+00:00,2023-01-07 21:30:00+00:00,UP,148.03384202427893,148.44305347276898,win,0.85
2023-01-07 22:12:00+00:00,2023-01-07 22:17:00+00:00,DOWN,148.98018432761268,148.7766290936546,win,0.85
2023-01-07 22:54:00+00:00,2023-01-07 22:59:00+00:00,UP,148.24793582687045,148.0492106868192,loss,-1.0
2023-01-07 23:00:00+00:00,2023-01-07 23:05:00+00:00,UP,147.91215030767438,148.2500994579666,win,0.85
2023-01-08 00:33:00+00:00,2023-01-08 00:38:00+00:00,UP,147.65011095160745,147.8064170982965,win,0.85
2023-01-08 10:29:00+00:00,2023-01-08 10:34:00+00:00,UP,148.21469531200665,148.5989560390743,win,0.85
2023-01-08 20:55:00+00:00,2023-01-08 21:00:00+00:00,UP,148.1612013859289,147.89645821730392,loss,-1.0
